size,n_repeats,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,rmse_mean,rmse_std
100,5,0.33999999999999997,0.12000000000000002,0.2581666666666666,0.11086797704176499,0.33999999999999997,0.12000000000000002,0.2777777777777778,0.11526941067359125,5.408055353217758,0.8384135593683733
200,5,0.42000000000000004,0.1197914855071094,0.4094545016387121,0.09864860047996775,0.4151754385964912,0.09978175245253629,0.37068671679197995,0.1037360676704602,6.262444627507001,0.903762849097428
300,5,0.5533333333333333,0.05312459150169742,0.5991015254586682,0.04756765662841825,0.5479875283446711,0.08443025051752272,0.5160670572813431,0.07013539599731573,5.521055761498575,0.6228509279301059
400,5,0.6775,0.048989794855663536,0.7221349206349207,0.05706449322476497,0.6761666666666667,0.04654627327247111,0.6696291486291488,0.05417566096047567,4.235942180638441,0.5716588513161046
500,5,0.666,0.030066592756745798,0.7237671356421356,0.05069660869503782,0.6657380952380952,0.03118687729146259,0.6622030966109913,0.03909991515678848,4.7990965573142095,0.6485925019416251
600,5,0.7100000000000001,0.018559214542766714,0.7429322820037105,0.029045733323423764,0.706943499622071,0.01838930173456278,0.7028863083695016,0.021423068736765312,4.240468596702535,0.7735800413529533
